arquivo,categoria,linhas,motivo
"docs/RELATORIO-AUDITORIA-PERFORMANCE.md","coeso e necessario","73","Documentacao tecnica; util para governanca e manutencao."
"docs/RELATORIO-AUDITORIA-SEGURANCA.md","coeso e necessario","103","Documentacao tecnica; util para governanca e manutencao."
"docs/RELATORIO-FASE2-INTEGRACAO-COMPRASGOV.md","coeso e necessario","285","Documentacao tecnica; util para governanca e manutencao."
"docs/RELATORIO-INTEGRACAO-COMPRASGOV.md","coeso e necessario","184","Documentacao tecnica; util para governanca e manutencao."
"docs/RESUMO_IMPLEMENTACAO_SALDOS.md","coeso e necessario","413","Documentacao tecnica; util para governanca e manutencao."
"docs/REVIEW_FINAL.md","coeso e necessario","181","Documentacao tecnica; util para governanca e manutencao."
"docs/REVISAO_API_COMPRASGOV.md","coeso e necessario","536","Documentacao tecnica; util para governanca e manutencao."
"docs/SEPARACAO_RESPONSABILIDADES.md","coeso e necessario","186","Documentacao tecnica; util para governanca e manutencao."
"docs/SISTEMA_CACHE.md","coeso e necessario","380","Documentacao tecnica; util para governanca e manutencao."
"docs/SISTEMA_ERRO_SELECIONAVEL.md","coeso e necessario","435","Documentacao tecnica; util para governanca e manutencao."
"docs/SOLUCAO_CACHE.md","coeso e necessario","175","Documentacao tecnica; util para governanca e manutencao."
"docs/SOLUCAO_ERRO_SELECIONAVEL.md","coeso e necessario","266","Documentacao tecnica; util para governanca e manutencao."
"docs/SOLUCAO_MEMORIA_APLICACAO.md","coeso e necessario","449","Documentacao tecnica; util para governanca e manutencao."
"docs/SUMARIO_LIMPEZA.md","coeso e necessario","263","Documentacao tecnica; util para governanca e manutencao."
"docs/VINCULACAO_USUARIO_UNIDADE.md","coeso e necessario","307","Documentacao tecnica; util para governanca e manutencao."
"docs/api/README.md","coeso e necessario","4","Documentacao tecnica; util para governanca e manutencao."
"docs/architecture/deploy-vps.md","coeso e necessario","13","Documentacao tecnica; util para governanca e manutencao."
"docs/architecture/docker.md","coeso e necessario","14","Documentacao tecnica; util para governanca e manutencao."
"docs/architecture/environments.md","coeso e necessario","6","Documentacao tecnica; util para governanca e manutencao."
"docs/architecture/overview.md","coeso e necessario","10","Documentacao tecnica; util para governanca e manutencao."
"docs/architecture/versioning.md","coeso e necessario","15","Documentacao tecnica; util para governanca e manutencao."
"docs/bugfixes/BUGFIX_COMPLETO.md","coeso e necessario","535","Documentacao tecnica; util para governanca e manutencao."
"docs/bugfixes/BUGFIX_ID_UNIDADE.md","coeso e necessario","241","Documentacao tecnica; util para governanca e manutencao."
"docs/bugfixes/BUGFIX_RESUMO.md","coeso e necessario","326","Documentacao tecnica; util para governanca e manutencao."
"docs/bugfixes/BUGFIX_UNIDADE_DB.md","coeso e necessario","324","Documentacao tecnica; util para governanca e manutencao."
"docs/bugfixes/CORRECAO_ADOTAR_ESTRUTURA_2025-11-07.md","coeso e necessario","344","Documentacao tecnica; util para governanca e manutencao."
"docs/bugfixes/CORRECAO_AUTENTICACAO_2025-11-07.md","coeso e necessario","339","Documentacao tecnica; util para governanca e manutencao."
"docs/bugfixes/CORRECAO_VALIDACAO_CNPJ_2025-11-07.md","coeso e necessario","298","Documentacao tecnica; util para governanca e manutencao."
"docs/guias/COMO_ABRIR.md","coeso e necessario","158","Documentacao tecnica; util para governanca e manutencao."
"docs/guias/GUIA_CACHE.md","coeso e necessario","113","Documentacao tecnica; util para governanca e manutencao."
"docs/guias/GUIA_LOGIN.md","coeso e necessario","257","Documentacao tecnica; util para governanca e manutencao."
"docs/implementacao/ADEQUACAO_CONCLUIDA.md","coeso e necessario","325","Documentacao tecnica; util para governanca e manutencao."
"docs/implementacao/ANALISE_INTEGRACOES.md","coeso e necessario","338","Documentacao tecnica; util para governanca e manutencao."
"docs/implementacao/BACKLOG_ISSUES_SINGEM_2026Q2.md","coeso e necessario","188","Documentacao tecnica; util para governanca e manutencao."
"docs/implementacao/CORRECOES_EMPENHOS_2025-11-07.md","coeso e necessario","303","Documentacao tecnica; util para governanca e manutencao."
"docs/implementacao/FASE1_CHECKLIST_EXECUCAO_15_DIAS.md","coeso e necessario","133","Documentacao tecnica; util para governanca e manutencao."
"docs/implementacao/FRONTEND_REFACTOR_ETAPAS.md","coeso e necessario","105","Documentacao tecnica; util para governanca e manutencao."
"docs/implementacao/IMPLEMENTACAO_COMPLETA.md","coeso e necessario","396","Documentacao tecnica; util para governanca e manutencao."
"docs/implementacao/IMPLEMENTACAO_CONFIGURACOES.md","coeso e necessario","541","Documentacao tecnica; util para governanca e manutencao."
"docs/implementacao/IMPLEMENTACAO_NE_PARSER.md","coeso e necessario","275","Documentacao tecnica; util para governanca e manutencao."
"docs/implementacao/INDICE_IMPLEMENTACAO.md","coeso e necessario","312","Documentacao tecnica; util para governanca e manutencao."
"docs/implementacao/INTEGRACAO_AUTENTICACAO.md","coeso e necessario","424","Documentacao tecnica; util para governanca e manutencao."
"docs/implementacao/INTEGRACOES_APLICADAS.md","coeso e necessario","584","Documentacao tecnica; util para governanca e manutencao."
"docs/implementacao/ISSUES_GITHUB_READY_2026Q2.md","coeso e necessario","281","Documentacao tecnica; util para governanca e manutencao."
"docs/implementacao/PLANO_SPRINTS_2026Q2.md","coeso e necessario","93","Documentacao tecnica; util para governanca e manutencao."
"docs/implementacao/RESTRICOES_SEGURANCA.md","coeso e necessario","441","Documentacao tecnica; util para governanca e manutencao."
"docs/implementacao/RESUMO_INTEGRACAO.md","coeso e necessario","371","Documentacao tecnica; util para governanca e manutencao."
"docs/implementacao/SISTEMA_LOGOMARCAS.md","coeso e necessario","443","Documentacao tecnica; util para governanca e manutencao."
"docs/implementacao/VALIDACAO_CNPJ_UNIDADES.md","coeso e necessario","373","Documentacao tecnica; util para governanca e manutencao."
"docs/modules/README.md","coeso e necessario","4","Documentacao tecnica; util para governanca e manutencao."
"img/LOGO COMPLETA.png","coeso e necessario","1513","Em uso ou parte estrutural valida da aplicacao/projeto."
"img/LOGO LG.png","coeso e necessario","1370","Em uso ou parte estrutural valida da aplicacao/projeto."
"img/gov.br-logo-2048x742.png","coeso e necessario","280","Em uso ou parte estrutural valida da aplicacao/projeto."
"img/govbr-logo.svg","coeso e necessario","7","Em uso ou parte estrutural valida da aplicacao/projeto."
"img/govbr.png","coeso e necessario","18","Em uso ou parte estrutural valida da aplicacao/projeto."
"img/icone-serproid-1024px.png","coeso e necessario","185","Em uso ou parte estrutural valida da aplicacao/projeto."
"img/manual-marca-nova-if-baiano-2015.pdf","coeso e necessario","6215","Em uso ou parte estrutural valida da aplicacao/projeto."
"img/marca-if-baiano-campus-guanambi-horizontal.jpg","coeso e necessario","54","Em uso ou parte estrutural valida da aplicacao/projeto."
"img/marca-if-baiano-campus-guanambi-vertical.jpg","coeso e necessario","63","Em uso ou parte estrutural valida da aplicacao/projeto."
"img/marca-serproid-1270px384px.png","coeso e necessario","185","Em uso ou parte estrutural valida da aplicacao/projeto."
"index.html","coeso e necessario","91","Em uso ou parte estrutural valida da aplicacao/projeto."
"infra/nginx/default.conf","coeso e necessario","13","Em uso ou parte estrutural valida da aplicacao/projeto."
"infra/nginx/ssl/.gitkeep","coeso e necessario","1","Em uso ou parte estrutural valida da aplicacao/projeto."
"infra/scripts/backup.sh","coeso e necessario","5","Em uso ou parte estrutural valida da aplicacao/projeto."
"infra/scripts/healthcheck.sh","coeso e necessario","6","Em uso ou parte estrutural valida da aplicacao/projeto."
"infra/scripts/restore.sh","coeso e necessario","5","Em uso ou parte estrutural valida da aplicacao/projeto."
"infra/system/deploy-notes.md","coeso e necessario","7","Em uso ou parte estrutural valida da aplicacao/projeto."
"js/anexarPdfNE.js","coeso e necessario","639","Em uso ou parte estrutural valida da aplicacao/projeto."
"js/app.js","nao coeso, precisa refatorar","1564","Arquivo com acoplamento alto, volume de logica e/ou mistura de responsabilidades."
"js/authProvidersBootstrap.js","coeso e necessario","123","Em uso ou parte estrutural valida da aplicacao/projeto."
"js/bootstrap.js","coeso e necessario","105","Em uso ou parte estrutural valida da aplicacao/projeto."
"js/catalogacaoTela.js","coeso e necessario","11","Em uso ou parte estrutural valida da aplicacao/projeto."
"js/catmatIntegration.js","coeso e necessario","1085","Em uso ou parte estrutural valida da aplicacao/projeto."
"js/config.js","coeso e necessario","200","Em uso ou parte estrutural valida da aplicacao/projeto."
"js/configuracoesPageBootstrap.js","coeso e necessario","113","Em uso ou parte estrutural valida da aplicacao/projeto."
"js/consultas/apiCompras.js","coeso e necessario","705","Em uso ou parte estrutural valida da aplicacao/projeto."
"js/consultas/cache.js","coeso e necessario","146","Em uso ou parte estrutural valida da aplicacao/projeto."
"js/consultas/dadosMock.js","coeso e necessario","261","Em uso ou parte estrutural valida da aplicacao/projeto."
"js/consultas/datasetsConfig.js","coeso e necessario","580","Em uso ou parte estrutural valida da aplicacao/projeto."
"js/consultas/govAnalyticsRenderer.js","coeso e necessario","191","Em uso ou parte estrutural valida da aplicacao/projeto."
"js/consultas/index.js","coeso e necessario","30","Em uso ou parte estrutural valida da aplicacao/projeto."
"js/consultas/mapeadores.js","coeso e necessario","472","Em uso ou parte estrutural valida da aplicacao/projeto."
"js/consultas/precosPraticadosRenderer.js","coeso e necessario","1548","Em uso ou parte estrutural valida da aplicacao/projeto."
"js/consultas/uiConsultas.js","coeso e necessario","528","Em uso ou parte estrutural valida da aplicacao/projeto."
"js/consultas/uiConsultasActions.js","coeso e necessario","347","Em uso ou parte estrutural valida da aplicacao/projeto."
"js/consultas/uiConsultasNavigation.js","coeso e necessario","75","Em uso ou parte estrutural valida da aplicacao/projeto."
"js/consultas/uiConsultasRender.js","coeso e necessario","357","Em uso ou parte estrutural valida da aplicacao/projeto."
"js/consultas/uiConsultasSearch.js","coeso e necessario","387","Em uso ou parte estrutural valida da aplicacao/projeto."
"js/consultas/uiConsultasState.js","nao coeso, precisa refatorar","315","Arquivo com acoplamento alto, volume de logica e/ou mistura de responsabilidades."
"js/consultasPageBootstrap.js","coeso e necessario","60","Em uso ou parte estrutural valida da aplicacao/projeto."
"js/core/accessScope.js","coeso e necessario","302","Em uso ou parte estrutural valida da aplicacao/projeto."
"js/core/asyncQueue.js","coeso e necessario","370","Em uso ou parte estrutural valida da aplicacao/projeto."
"js/core/auditLog.js","coeso e necessario","285","Em uso ou parte estrutural valida da aplicacao/projeto."
"js/core/authRemember.js","coeso e necessario","23","Em uso ou parte estrutural valida da aplicacao/projeto."
"js/core/backupManager.js","coeso e necessario","484","Em uso ou parte estrutural valida da aplicacao/projeto."
"js/core/dataBackup.js","coeso e necessario","444","Em uso ou parte estrutural valida da aplicacao/projeto."
"js/core/dbGateway.js","coeso e necessario","108","Em uso ou parte estrutural valida da aplicacao/projeto."
"js/core/dbTx.js","coeso e necessario","60","Em uso ou parte estrutural valida da aplicacao/projeto."
"js/core/eventBus.js","coeso e necessario","48","Em uso ou parte estrutural valida da aplicacao/projeto."
"js/core/format.js","coeso e necessario","326","Em uso ou parte estrutural valida da aplicacao/projeto."
"js/core/inputValidator.js","coeso e necessario","317","Em uso ou parte estrutural valida da aplicacao/projeto."
"js/core/menuConfig.js","coeso e necessario","411","Em uso ou parte estrutural valida da aplicacao/projeto."
"js/core/protection.js","coeso e necessario","546","Em uso ou parte estrutural valida da aplicacao/projeto."
"js/core/recoveryPin.js","coeso e necessario","188","Em uso ou parte estrutural valida da aplicacao/projeto."
"js/core/repository.js","coeso e necessario","428","Em uso ou parte estrutural valida da aplicacao/projeto."
"js/core/storageAdapter.js","coeso e necessario","544","Em uso ou parte estrutural valida da aplicacao/projeto."
"js/core/storageAudit.js","coeso e necessario","510","Em uso ou parte estrutural valida da aplicacao/projeto."
"js/core/syncManager.js","coeso e necessario","401","Em uso ou parte estrutural valida da aplicacao/projeto."
"js/core/validators/required.js","coeso e necessario","153","Em uso ou parte estrutural valida da aplicacao/projeto."
"js/core/version-ui.js","coeso e necessario","76","Em uso ou parte estrutural valida da aplicacao/projeto."
"js/core/version.js","coeso e necessario","81","Em uso ou parte estrutural valida da aplicacao/projeto."
"js/data/naturezaSubelementos.js","coeso e necessario","149","Em uso ou parte estrutural valida da aplicacao/projeto."
"js/db.js","coeso e necessario","2253","Em uso ou parte estrutural valida da aplicacao/projeto."
"js/db/indexeddb-utils.js","coeso e necessario","310","Em uso ou parte estrutural valida da aplicacao/projeto."
"js/db/integration.js","coeso e necessario","234","Em uso ou parte estrutural valida da aplicacao/projeto."
"js/diagnosticoCachePage.js","coeso e necessario","120","Em uso ou parte estrutural valida da aplicacao/projeto."
"js/exportCSV.js","coeso e necessario","225","Em uso ou parte estrutural valida da aplicacao/projeto."
"js/features/almoxarifado/api.js","coeso e necessario","103","Em uso ou parte estrutural valida da aplicacao/projeto."
"js/features/almoxarifado/pages.js","coeso e necessario","2","Em uso ou parte estrutural valida da aplicacao/projeto."
"js/features/almoxarifado/pages/almoxarifadoPage.js","coeso e necessario","1315","Em uso ou parte estrutural valida da aplicacao/projeto."
"js/features/app/appShell.js","coeso e necessario","433","Em uso ou parte estrutural valida da aplicacao/projeto."
"js/features/app/authFeedback.js","coeso e necessario","45","Em uso ou parte estrutural valida da aplicacao/projeto."
"js/features/app/authSessionSupport.js","coeso e necessario","104","Em uso ou parte estrutural valida da aplicacao/projeto."
"js/features/app/bootstrap.js","coeso e necessario","182","Em uso ou parte estrutural valida da aplicacao/projeto."
"js/features/app/cadastroEmpenhoNavigation.js","coeso e necessario","40","Em uso ou parte estrutural valida da aplicacao/projeto."
"js/features/app/empenhoEdicao.js","nao coeso, precisa refatorar","183","Arquivo com acoplamento alto, volume de logica e/ou mistura de responsabilidades."
